transaction_id,date,amount,merchant,mode,type,category,narration,user_id,account_id,is_fraud
108,2025-09-06,718.43,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
109,2025-09-06,409.26,Ola,UPI,debit,Transport,Ride sharing,1,1,0
110,2025-09-06,555.7,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
111,2025-09-05,359.17,McDonald's,Card,debit,Food & Drink,Fast food,1,1,0
112,2025-09-04,1630.77,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
113,2025-09-04,606.07,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
114,2025-09-03,362.01,Zomato,UPI,debit,Food & Drink,Food delivery,1,1,0
115,2025-09-02,2114.23,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
116,2025-09-01,594.29,Mobile Recharge,IMPS,credit,Uncategorized,Mobile recharge,1,1,0
117,2025-09-01,551.13,Swiggy,UPI,debit,Food & Drink,Food delivery,1,1,0
118,2025-09-01,2765.07,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
119,2025-08-31,1519.95,Flipkart,UPI,debit,Shopping,Online shopping,1,1,0
120,2025-08-30,338.79,Starbucks,Card,debit,Food & Drink,Cafe,1,1,0
121,2025-08-30,746.23,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
122,2025-08-30,303.15,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
123,2025-08-29,1978.01,DMart,Card,debit,Groceries,Grocery shopping,1,1,0
124,2025-08-29,837.15,Internet Bill,NEFT,debit,Uncategorized,Utility bill,1,1,0
125,2025-08-27,291.19,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
126,2025-08-25,483.18,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
127,2025-08-25,774.5,DTH Recharge,IMPS,credit,Uncategorized,TV subscription,1,1,0
128,2025-08-23,609.72,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
129,2025-08-22,401.84,Ola,UPI,debit,Transport,Ride sharing,1,1,0
130,2025-08-22,662.94,Zomato,UPI,debit,Food & Drink,Food delivery,1,1,0
131,2025-08-20,1228.69,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
132,2025-08-19,1953.52,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
133,2025-08-19,397.68,Starbucks,Card,debit,Food & Drink,Cafe,1,1,0
134,2025-08-19,2100.48,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
135,2025-08-18,1382.43,Flipkart,UPI,debit,Shopping,Online shopping,1,1,0
136,2025-08-18,288.73,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
137,2025-08-18,472.39,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
